10001,Collin ,Fabac,Mr.,Male,2/23/55 0:00,103 Overture Court,Waco,TX,76706,2544441234,cfabac@me.com,Attender,5/14/95 0:00,4/14/65 0:00,10/5/92 0:00,Married
10002,Blake,Sims,Mr.,Male,6/4/52 0:00,112 8th Street,Waco,TX,76706,2541234565,bsims@gmail.com,Member,2/2/85 0:00,3/23/71 0:00,3/16/81 0:00,Divorced
10003,Michelle,Flanaghan,Mrs.,Female,1/14/16 0:00,10 S 12th Street,Waco,TX,76706,2538027896,mflanaghan@yahoo.com,Staff,1/24/66 0:00,7/10/10 0:00,11/3/12 0:00,Married
10004,Leo,Bindel,Mr.,Male,3/25/15 0:00,453 West Waco Dr,Waco,TX,76706,2534821227,lbindel@me.com,Member,10/22/12 0:00,8/29/98 0:00,6/10/98 0:00,Seperated
10005,Kierston ,Nolte,Ms.,Female,1/7/15 0:00,1500 Fresno Place,Waco,TX,76706,2531614558,knolte@gmail.com,Member,11/2/71 0:00,7/19/80 0:00,7/15/69 0:00,Not Applicable
10006,Emily,McCabe,Ms.,Female,4/30/14 0:00,988 Larkin Lane,Waco,TX,76706,2528407889,emccabe@yahoo.com,Archived,2/28/85 0:00,4/3/69 0:00,2/19/65 0:00,Single
10007,David,Henry,Mr.,Male,7/9/13 0:00,234 S 4th Street,Waco,TX,76706,2525201220,dhenry@me.com,Minister,1/1/03 0:00,11/18/83 0:00,8/13/74 0:00,Married
10008,Tony,Bennett,Mr.,Male,9/23/12 0:00,643 S 21st Street,Waco,TX,76706,2521994551,tbennett@gmail.com,Visitor,3/3/14 0:00,7/19/08 0:00,7/12/79 0:00,Single
10009,Brett,Plattner,Mr.,Male,5/7/05 0:00,123 Overland Road,Waco,TX,76706,2518787882,bplattner@yahoo.com,Attender,8/11/05 0:00,2/5/69 0:00,8/9/76 0:00,Single
10010,Cody,Yost,Mr.,Male,10/23/06 0:00,932 West Waco Dr,Waco,TX,76706,2515581213,cyost@me.com,Contact,11/26/79 0:00,11/15/96 0:00,7/15/94 0:00,Not applicable
10011,Connor,Duncan,Mr.,Male,12/24/07 0:00,543 Franklin Dr,Waco,TX,76706,2512374544,cduncan@gmail.com,Dependant ,11/14/92 0:00,4/8/13 0:00,6/3/98 0:00,Married
10012,Brandon,Parker,Mr.,Male,3/17/08 0:00,89 Overture Court,Waco,TX,76706,2509167875,bparker@yahoo.com,Member,8/10/85 0:00,1/10/74 0:00,4/23/62 0:00,Single
10013,Alyssa,Rodriguez,Mrs.,Female,12/4/03 0:00,199 S 2nd Street,Waco,TX,76706,2505961206,arodriguez@me.com,Member,6/3/74 0:00,1/30/62 0:00,7/21/66 0:00,Married
10014,Emma,Popkess,Mrs.,Female,1/2/03 0:00,657 4th Street,Waco,TX,76706,2502754537,epopkess@gmail.com,Staff,6/25/70 0:00,11/7/73 0:00,5/16/10 0:00,Married
10015,Eric,Hosmer,Mr.,Male,3/8/03 0:00,888 Fresno Place,Waco,TX,76706,2499547868,ehosmer@yahoo.com,Staff,11/11/80 0:00,2/27/85 0:00,7/31/89 0:00,Single
